Model,Sequence,Count,Probability
coremark,openasip_base_shl1add,60503,0.016
coremark,openasip_base_mac,58347,0.015
coremark,openasip_base_shl2add,19876,0.005
coremark,openasip_base_gt,12960,0.003
coremark,openasip_base_maxu,41,0.0
magic_wand,openasip_base_shl2add,2596,0.009
micro_kws_m_fp32,openasip_base_shl2add,39300,0.002
micro_kws_m_fp32,openasip_base_mac,642,0.0
cnn_s_quantized,openasip_base_mac,535723,0.064
cnn_s_quantized,openasip_base_shl1add,11202,0.001
cnn_s_quantized,openasip_base_min,9916,0.001
cnn_s_quantized,openasip_base_max,9916,0.001
cnn_s_quantized,openasip_base_shl2add,5778,0.001
toycar,openasip_base_mac,266384,0.372
toycar,openasip_base_min,1672,0.002
toycar,openasip_base_max,1672,0.002
toycar,openasip_base_shl2add,4,0.0
bigsine_quant,openasip_base_mac,148,0.01
bigsine_quant,openasip_base_max,39,0.003
bigsine_quant,openasip_base_min,39,0.003
bigsine_quant,openasip_base_shl2add,4,0.0
umatest,openasip_base_shl2add,7060,0.003
umatest,openasip_base_mac,86,0.0
simple_mnist,openasip_base_shl2add,213,0.002
cifar10,openasip_base_shl2add,129017,0.004
cifar10,openasip_base_mac,612,0.0
lstm2,openasip_base_shl2add,5,0.0
sine_model,openasip_base_shl2add,4,0.0
micro_speech,openasip_base_mac,344008,0.247
micro_speech,openasip_base_shl2add,12504,0.009
micro_speech,openasip_base_min,4004,0.003
micro_speech,openasip_base_max,4004,0.003
micro_speech,openasip_base_shl1add,4000,0.003
text_class,openasip_base_shl2add,4,0.0
micro_kws_m_quantized,openasip_base_mac,5806058,0.273
micro_kws_m_quantized,openasip_base_shl2add,125326,0.006
micro_kws_m_quantized,openasip_base_max,39098,0.002
micro_kws_m_quantized,openasip_base_min,39098,0.002
micro_kws_m_quantized,openasip_base_shl1add,33320,0.002
catdog,openasip_base_mac,84009,0.2
catdog,openasip_base_shl1add,2780,0.007
catdog,openasip_base_shl2add,2104,0.005
catdog,openasip_base_min,1901,0.005
catdog,openasip_base_max,1901,0.005
aww,openasip_base_mac,2228231,0.118
aww,openasip_base_min,72012,0.004
aww,openasip_base_max,72012,0.004
aww,openasip_base_shl2add,32129,0.002
aww,openasip_base_shl1add,125,0.0
qnn_model,openasip_base_mac,31604,0.066
qnn_model,openasip_base_min,3178,0.007
qnn_model,openasip_base_max,3178,0.007
qnn_model,openasip_base_shl2add,816,0.002
