Run,Model,Frontend,Target,Total Instructions,Total ROM,Total RAM,Total Cycles (rel.),Total ROM (rel.),Total RAM (rel.)
0,coremark,coremark,etiss,3877413,50136,4796,1.0,1.0,1.0
1,coremark,coremark,etiss,3805676,50120,4796,0.981498746715916,0.999680868038934,1.0
0,magic_wand,tflite,etiss,267505,66728,19148,1.0,1.0,1.0
1,magic_wand,tflite,etiss,267804,66744,19148,1.001117736117082,1.0002397794029494,1.0
0,micro_kws_m_fp32,tflite,etiss,18279566,163816,166736,1.0,1.0,1.0
1,micro_kws_m_fp32,tflite,etiss,18286449,163816,166736,1.0003765406684164,1.0,1.0
0,cnn_s_quantized,tflite,etiss,10817201,191096,34560,1.0,1.0,1.0
1,cnn_s_quantized,tflite,etiss,8305469,190616,34560,0.7678020404723921,0.9974881734834848,1.0
0,toycar,tflite,etiss,969032,591256,5400,1.0,1.0,1.0
1,toycar,tflite,etiss,700731,589752,5400,0.7231247265312187,0.997456262600295,1.0
0,bigsine_quant,tflite,etiss,2015,47032,2760,1.0,1.0,1.0
1,bigsine_quant,tflite,etiss,1654,46488,2760,0.8208436724565756,0.988433407042014,1.0
0,umatest,tflite,etiss,2742063,284104,149432,1.0,1.0,1.0
1,umatest,tflite,etiss,2742418,284104,149432,1.0001294645673713,1.0,1.0
0,simple_mnist,tflite,etiss,85649,49672,16900,1.0,1.0,1.0
1,simple_mnist,tflite,etiss,85439,49656,16900,0.9975481324942498,0.9996778869383154,1.0
0,cifar10,tflite,etiss,21512270,545656,159024,1.0,1.0,1.0
1,cifar10,tflite,etiss,29321061,548792,159024,1.362992422464017,1.0057472106968492,1.0
0,lstm2,tflite,etiss,1296,46152,3040,1.0,1.0,1.0
1,lstm2,tflite,etiss,1294,46152,3040,0.9984567901234568,1.0,1.0
0,sine_model,tflite,etiss,1313,45912,2824,1.0,1.0,1.0
1,sine_model,tflite,etiss,1312,45912,2824,0.9992383853769992,1.0,1.0
0,micro_speech,tflite,etiss,1717354,79752,16660,1.0,1.0,1.0
1,micro_speech,tflite,etiss,1375234,79656,16660,0.800786558857405,0.9987962684321396,1.0
0,text_class,tflite,etiss,43223,687272,20104,1.0,1.0,1.0
1,text_class,tflite,etiss,43222,687272,20104,0.9999768641695392,1.0,1.0
0,micro_kws_m_quantized,tflite,etiss,27022276,110792,50912,1.0,1.0,1.0
1,micro_kws_m_quantized,tflite,etiss,21210359,110168,50912,0.7849212627389344,0.9943678243916528,1.0
0,catdog,tflite,etiss,502649,85272,4892,1.0,1.0,1.0
1,catdog,tflite,etiss,404505,85048,4892,0.8047464532904671,0.9973731119241956,1.0
0,aww,tflite,etiss,21622556,119048,59392,1.0,1.0,1.0
1,aww,tflite,etiss,18823597,118360,59392,0.8705537402701142,0.9942208184933808,1.0
0,qnn_model,tflite,etiss,610057,249304,12896,1.0,1.0,1.0
1,qnn_model,tflite,etiss,463652,248824,12896,0.7600142281786784,0.9980746397971954,1.0
